repo_name;dockerfile_path;build_status_before;build_status_after;before_security;after_security;improvement_security;before_performance;after_performance;improvement_performance;before_maintainability;after_maintainability;improvement_maintainability;before_reproducibility;after_reproducibility;improvement_reproducibility;build_time_s_before;build_time_s_after;build_time_s_improvement;image_size_mb_before;image_size_mb_after;image_size_mb_improvement;vulnerabilities_before;vulnerabilities_after;vulnerabilities_improvement
1394805163_chatgpt2api-proxy-pool;1394805163_chatgpt2api-proxy-pool/Dockerfile;SUCCESS;failed to solve: dockerfile parse error on line 5: FROM requires either one or three arguments;0.0;0;0.0;-9.0;0;9.0;-12.0;0;12.0;10.0;0;-10.0;366.4729590950001;;N/A;558.4604330062866;;N/A;5;;N/A
45d5r_databricks-mcp-server;45d5r_databricks-mcp-server/Dockerfile;SUCCESS;SUCCESS;0;0;0;0;0;0;0;0;0;0;0;0;38.957912509999915;6.525904557999638;-32.432007952000276;65.97190380096436;65.97190380096436;0.0;2;2;0
4FingerEddy_bkw-tariff-proxy;4FingerEddy_bkw-tariff-proxy/Dockerfile;SUCCESS;SUCCESS;0;0;0;0;0;0;0;0;0;0;0;0;21.35082191699985;4.454158737999933;-16.896663178999916;54.23451805114746;54.23451805114746;0.0;2;2;0
4yt1k_m3u-autoupdate;4yt1k_m3u-autoupdate/Dockerfile;SUCCESS;SUCCESS;0.0;0;0.0;-20.0;0;20.0;0.0;0;0.0;0.0;0;0.0;198.29441770300036;180.76281641599962;-17.53160128700074;100.61684131622314;100.61713886260986;0.00029754638671875;2;2;0
Abdullahalam379_Multimodal-Rag-System;Abdullahalam379_Multimodal-Rag-System/Dockerfile;SUCCESS;SUCCESS;-3.0;0;3.0;-15.0;0;15.0;0.0;0;0.0;0.0;0;0.0;303.3671898049997;236.70681416800016;-66.66037563699956;485.45654487609863;437.9811592102051;-47.475385665893555;4;4;0
AbuSultancom_enterprise-ai-agent;AbuSultancom_enterprise-ai-agent/Dockerfile;SUCCESS;SUCCESS;0.0;0.0;0.0;-24.0;-24.0;0.0;-20.0;-16.0;4.0;-12.0;-12.0;0.0;55.23930708399985;52.03469681899969;-3.2046102650001558;80.0367317199707;80.03680324554443;7.152557373046875e-05;2;2;0
adamdexter_ytdl4me;adamdexter_ytdl4me/Dockerfile;SUCCESS;SUCCESS;0;0;0;0;0;0;0;0;0;0;0;0;52.63899632199991;20.76112028999978;-31.87787603200013;274.0032720565796;274.0032720565796;0.0;2;2;0
adib-26_Student-Learning-Journey-Summarization-System;adib-26_Student-Learning-Journey-Summarization-System/Dockerfile;SUCCESS;SUCCESS;-3.0;0;3.0;-15.0;0;15.0;0.0;0;0.0;0.0;0;0.0;1654.588766766;2004.1009847710002;349.51221800500025;4460.977953910828;4444.749165534973;-16.228788375854492;0;0;0
Agri-Guard_AgriGuard;Agri-Guard_AgriGuard/Dockerfile;SUCCESS;SUCCESS;-3.0;0;3.0;-7.0;0;7.0;0.0;0;0.0;0.0;0;0.0;444.1457873930012;369.235740185999;-74.91004720700221;828.4973049163818;820.0572843551636;-8.440020561218262;3;3;0
ahmedabbas52233-a11y_TerraVision-AI;ahmedabbas52233-a11y_TerraVision-AI/Dockerfile;SUCCESS;SUCCESS;0.0;0;0.0;-1.0;0;1.0;-2.0;0;2.0;0.0;0;0.0;329.2344855120009;70.40855765699962;-258.8259278550013;501.98902225494385;501.99113750457764;0.0021152496337890625;3;3;0
Akin-Unal_ticketflow-api;Akin-Unal_ticketflow-api/Dockerfile;SUCCESS;SUCCESS;0.0;0;0.0;-8.0;0;8.0;0.0;0;0.0;0.0;0;0.0;72.30648572099926;23.163831210000353;-49.14265451099891;149.86036109924316;149.8604679107666;0.0001068115234375;2;2;0
albuter99_wind-energy-mlops-pipeline;albuter99_wind-energy-mlops-pipeline/Dockerfile;SUCCESS;SUCCESS;0;0;0;0;0;0;0;0;0;0;0;0;72.56910770200011;18.025243823998608;-54.5438638780015;160.31103706359863;160.31121158599854;0.00017452239990234375;2;2;0
Alkiviadisss_SpaceX;Alkiviadisss_SpaceX/Dockerfile;SUCCESS;failed to solve: dockerfile parse error on line 9: unknown instruction: COP (did you mean COPY?);0;0;0;0;0;0;0;0;0;0;0;0;283.48218220299896;;N/A;582.4222526550293;;N/A;2;;N/A
ammarahtech-arch_inventory-management;ammarahtech-arch_inventory-management/Dockerfile;SUCCESS;SUCCESS;0.0;0.0;0.0;-6.0;-6.0;0.0;-4.0;-4.0;0.0;-3.0;-3.0;0.0;74.17576899899905;10.151527045998591;-64.02424195300046;70.37569618225098;70.37580585479736;0.00010967254638671875;2;2;0
Amsamms_streamlit_automation_docker_GCP;Amsamms_streamlit_automation_docker_GCP/Dockerfile;SUCCESS;SUCCESS;-3.0;0.0;3.0;-31.0;-24.0;7.0;-20.0;-16.0;4.0;-12.0;-12.0;0.0;313.9070119200005;224.67057301000023;-89.23643891000029;400.7932119369507;346.1129322052002;-54.68027973175049;2;2;0
Andieribbed215_fund-ranking-system;Andieribbed215_fund-ranking-system/Dockerfile;SUCCESS;SUCCESS;0;0;0;0;0;0;0;0;0;0;0;0;178.71648326499962;27.87921457700031;-150.8372686879993;342.85559844970703;342.85559844970703;0.0;2;2;0
andugetachew_multi-tenant-saas;andugetachew_multi-tenant-saas/Dockerfile;SUCCESS;SUCCESS;0.0;0;0.0;-9.0;0;9.0;-2.0;0;2.0;0.0;0;0.0;205.37535298299917;160.96155058099976;-44.41380240199942;305.8126916885376;304.08307552337646;-1.7296161651611328;2;2;0
